name,played,points,goals_against,goals_for,name_league,avg_goals_for,avg_goals_against
Barcelona,29,73,28,78,LALIGA,2.689655172413793,0.9655172413793104
Real Madrid,29,69,26,63,LALIGA,2.1724137931034484,0.896551724137931
Villarreal,29,58,34,54,LALIGA,1.8620689655172413,1.1724137931034482
Atlético Madrid,29,57,28,49,LALIGA,1.6896551724137931,0.9655172413793104
Real Betis,29,44,37,44,LALIGA,1.5172413793103448,1.2758620689655173
Celta Vigo,29,41,35,41,LALIGA,1.4137931034482758,1.206896551724138
Real Sociedad,29,38,45,44,LALIGA,1.5172413793103448,1.5517241379310345
Getafe,29,38,31,25,LALIGA,0.8620689655172413,1.0689655172413792
Athletic Club,29,38,41,32,LALIGA,1.103448275862069,1.4137931034482758
Osasuna,29,37,35,34,LALIGA,1.1724137931034482,1.206896551724138
Espanyol,29,37,44,36,LALIGA,1.2413793103448276,1.5172413793103448
Valencia,29,35,42,32,LALIGA,1.103448275862069,1.4482758620689655
Girona,29,34,44,31,LALIGA,1.0689655172413792,1.5172413793103448
Rayo Vallecano,29,32,35,28,LALIGA,0.9655172413793104,1.206896551724138
Sevilla,29,31,49,37,LALIGA,1.2758620689655173,1.6896551724137931
Alavés,29,31,41,30,LALIGA,1.0344827586206897,1.4137931034482758
Elche,29,29,46,38,LALIGA,1.3103448275862069,1.5862068965517242
Mallorca,29,28,47,34,LALIGA,1.1724137931034482,1.6206896551724137
Levante,29,26,48,34,LALIGA,1.1724137931034482,1.6551724137931034
Real Oviedo,29,21,48,20,LALIGA,0.6896551724137931,1.6551724137931034
Arsenal,31,70,22,61,Premier League,1.967741935483871,0.7096774193548387
Manchester City,30,61,28,60,Premier League,2.0,0.9333333333333333
Manchester United,31,55,43,56,Premier League,1.8064516129032258,1.3870967741935485
Aston Villa,31,54,37,42,Premier League,1.3548387096774193,1.1935483870967742
Liverpool,31,49,42,50,Premier League,1.6129032258064515,1.3548387096774193
Chelsea,31,48,38,53,Premier League,1.7096774193548387,1.2258064516129032
Brentford,31,46,42,46,Premier League,1.4838709677419355,1.3548387096774193
Everton,31,46,35,37,Premier League,1.1935483870967742,1.1290322580645162
Fulham,31,44,44,43,Premier League,1.3870967741935485,1.4193548387096775
Brighton & Hove Albion,31,43,37,41,Premier League,1.3225806451612903,1.1935483870967742
Sunderland,31,43,36,32,Premier League,1.032258064516129,1.1612903225806452
Newcastle United,31,42,45,44,Premier League,1.4193548387096775,1.4516129032258065
AFC Bournemouth,31,42,48,46,Premier League,1.4838709677419355,1.5483870967741935
Crystal Palace,30,39,35,33,Premier League,1.1,1.1666666666666667
Leeds United,31,33,48,37,Premier League,1.1935483870967742,1.5483870967741935
Nottingham Forest,31,32,43,31,Premier League,1.0,1.3870967741935485
Tottenham Hotspur,31,30,50,40,Premier League,1.2903225806451613,1.6129032258064515
West Ham United,31,29,57,36,Premier League,1.1612903225806452,1.8387096774193548
Burnley,31,20,61,33,Premier League,1.064516129032258,1.967741935483871
Wolverhampton Wanderers,31,17,54,24,Premier League,0.7741935483870968,1.7419354838709677
Internazionale,30,69,24,66,Serie A,2.2,0.8
AC Milan,30,63,23,47,Serie A,1.5666666666666667,0.7666666666666667
Napoli,30,62,30,46,Serie A,1.5333333333333334,1.0
Como,30,57,22,53,Serie A,1.7666666666666666,0.7333333333333333
Juventus,30,54,29,52,Serie A,1.7333333333333334,0.9666666666666667
AS Roma,30,54,23,40,Serie A,1.3333333333333333,0.7666666666666667
Atalanta,30,50,27,41,Serie A,1.3666666666666667,0.9
Lazio,30,43,28,31,Serie A,1.0333333333333334,0.9333333333333333
Bologna,30,42,36,38,Serie A,1.2666666666666666,1.2
Sassuolo,30,39,40,36,Serie A,1.2,1.3333333333333333
Udinese,30,39,42,35,Serie A,1.1666666666666667,1.4
Parma,30,34,38,21,Serie A,0.7,1.2666666666666666
Genoa,30,33,42,36,Serie A,1.2,1.4
Torino,30,33,53,34,Serie A,1.1333333333333333,1.7666666666666666
Cagliari,30,30,42,31,Serie A,1.0333333333333334,1.4
Fiorentina,30,29,44,35,Serie A,1.1666666666666667,1.4666666666666666
Cremonese,30,27,44,25,Serie A,0.8333333333333334,1.4666666666666666
Lecce,30,27,40,21,Serie A,0.7,1.3333333333333333
Hellas Verona,30,18,52,22,Serie A,0.7333333333333333,1.7333333333333334
Pisa,30,18,54,23,Serie A,0.7666666666666667,1.8
Bayern Munich,27,70,25,97,Bundesliga,3.5925925925925926,0.9259259259259259
Borussia Dortmund,27,61,28,58,Bundesliga,2.1481481481481484,1.037037037037037
VfB Stuttgart,27,53,36,56,Bundesliga,2.074074074074074,1.3333333333333333
RB Leipzig,27,50,35,53,Bundesliga,1.962962962962963,1.2962962962962963
TSG Hoffenheim,27,50,39,54,Bundesliga,2.0,1.4444444444444444
Bayer Leverkusen,27,46,36,52,Bundesliga,1.9259259259259258,1.3333333333333333
Eintracht Frankfurt,27,38,51,50,Bundesliga,1.8518518518518519,1.8888888888888888
SC Freiburg,27,37,44,39,Bundesliga,1.4444444444444444,1.6296296296296295
1. FC Union Berlin,27,31,46,31,Bundesliga,1.1481481481481481,1.7037037037037037
FC Augsburg,27,31,50,33,Bundesliga,1.2222222222222223,1.8518518518518519
Mainz,27,30,42,33,Bundesliga,1.2222222222222223,1.5555555555555556
Hamburg SV,27,30,40,31,Bundesliga,1.1481481481481481,1.4814814814814814
Borussia Mönchengladbach,27,29,46,33,Bundesliga,1.2222222222222223,1.7037037037037037
Werder Bremen,27,28,47,30,Bundesliga,1.1111111111111112,1.7407407407407407
FC Cologne,27,26,47,38,Bundesliga,1.4074074074074074,1.7407407407407407
St. Pauli,27,24,44,24,Bundesliga,0.8888888888888888,1.6296296296296295
VfL Wolfsburg,27,21,57,35,Bundesliga,1.2962962962962963,2.111111111111111
1. FC Heidenheim 1846,27,15,61,27,Bundesliga,1.0,2.259259259259259
