player_id,player_name,dorsal,position,age,nationality,height,weight,subs,goals,assists,shots_on_target,fouls_committed,fouls_received,yellow_cards,red_cards,player_team_id,player_league_id,team_id,team_logo,team_league_id,id_league,name_league,league_year,total_contribution
122,Lamine Yamal,10,A,18,España,1.78,72,2,14,9,34,24,47,1,0,1,1,1,https://a.espncdn.com/i/teamlogos/soccer/500/83.png,1,1,LALIGA,2025-2026,23
455,Vinícius Júnior,7,A,25,Brasil,1.75,73,3,11,5,35,25,61,7,0,2,1,2,https://a.espncdn.com/i/teamlogos/soccer/500/86.png,1,1,LALIGA,2025-2026,16
123,Raphinha,11,A,29,Brasil,1.75,72,3,11,3,19,10,9,4,0,1,1,1,https://a.espncdn.com/i/teamlogos/soccer/500/83.png,1,1,LALIGA,2025-2026,14
416,Antony,7,A,26,Brasil,1.75,63,2,7,5,27,14,35,4,1,5,1,5,https://a.espncdn.com/i/teamlogos/soccer/500/244.png,1,1,LALIGA,2025-2026,12
954,Mohamed Salah,11,A,33,Egipto,1.75,71,3,5,6,14,10,16,1,0,25,2,25,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,2,2,Premier League,2025-2026,11
1205,Rafael Leão,10,A,26,Portugal,1.88,81,4,9,2,23,17,30,3,0,42,3,42,https://a.espncdn.com/i/teamlogos/soccer/500/103.png,3,3,Serie A,2025-2026,11
124,Marcus Rashford,14,A,28,Inglaterra,1.88,78,10,4,6,22,6,19,2,0,1,1,1,https://a.espncdn.com/i/teamlogos/soccer/500/83.png,1,1,LALIGA,2025-2026,10
58,Nico Williams,10,A,23,España,1.8,67,4,4,2,13,17,23,1,0,9,1,9,https://a.espncdn.com/i/teamlogos/soccer/500/93.png,1,1,LALIGA,2025-2026,6
581,Arnaut Danjuma,7,A,29,Holanda,1.78,73,8,3,2,14,20,22,0,0,12,1,12,https://a.espncdn.com/i/teamlogos/soccer/500/94.png,1,1,LALIGA,2025-2026,5
821,Alejandro Garnacho,49,A,21,Argentina,1.8,73,6,1,4,7,8,19,2,0,26,2,26,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,2,2,Premier League,2025-2026,5
987,Jérémy Doku,11,A,23,Bélgica,1.73,66,9,1,4,8,17,40,0,0,22,2,22,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,2,2,Premier League,2025-2026,5
83,Thiago Almada,11,M,24,Argentina,1.7,63,9,3,1,10,7,12,1,0,4,1,4,https://a.espncdn.com/i/teamlogos/soccer/500/1068.png,1,1,LALIGA,2025-2026,4
553,Chidera Ejuke,21,A,28,Nigeria,1.75,72,17,1,1,2,3,11,0,0,15,1,15,https://a.espncdn.com/i/teamlogos/soccer/500/243.png,1,1,LALIGA,2025-2026,2
