nationality,avg_goals,total_goals,player_count
Benín,4.0,4,1
Luxemburgo,4.0,4,1
Bosnia y Herzegovina,3.3333333333333335,20,6
Kosovo,3.2222222222222223,29,9
Canadá,3.2,16,5
Sudáfrica,3.0,3,1
Surinam,2.5,5,2
Burkina Faso,2.5,10,4
Guinea-Bisáu,2.4,12,5
Georgia,2.25,9,4
Croacia,2.2222222222222223,60,27
Ucrania,2.2,22,10
Turquía,2.1176470588235294,36,17
Noruega,2.090909090909091,46,22
Brasil,2.014925373134328,135,67
Colombia,2.0,30,15
Guinea,2.0,4,2
Montenegro,2.0,8,4
Armenia,2.0,2,1
Indonesia,2.0,4,2
Islandia,2.0,10,5
México,2.0,8,4
Siria,2.0,2,1
Camerún,1.9166666666666667,23,12
Argentina,1.85,111,60
Corea del Sur,1.75,7,4
Portugal,1.7073170731707317,70,41
Polonia,1.6666666666666667,30,18
Egipto,1.6666666666666667,5,3
Ghana,1.6470588235294117,28,17
Argelia,1.6,16,10
República Checa,1.5555555555555556,14,9
Francia,1.5169491525423728,179,118
Zambia,1.5,3,2
Grecia,1.4545454545454546,16,11
Holanda,1.403225806451613,87,62
Israel,1.3333333333333333,4,3
Alemania,1.3136363636363637,289,220
Dinamarca,1.2307692307692308,48,39
Gales,1.2307692307692308,16,13
Paraguay,1.2,6,5
Senegal,1.1818181818181819,26,22
Congo (Brazzaville),1.1666666666666667,7,6
Eslovenia,1.1428571428571428,8,7
Uruguay,1.125,27,24
,1.1111111111111112,10,9
Suecia,1.103448275862069,32,29
Nigeria,1.08,27,25
Inglaterra,1.0472103004291846,244,233
USA,1.04,26,25
Bélgica,1.0256410256410255,40,39
Honduras,1.0,1,1
Costa de Marfil,1.0,12,12
Guinea Ecuatorial,1.0,2,2
Hungría,1.0,7,7
Nueva Zelanda,1.0,2,2
Haití,1.0,1,1
Marruecos,0.9655172413793104,28,29
Escocia,0.9565217391304348,22,23
Japón,0.9545454545454546,21,22
Austria,0.9375,30,32
Italia,0.8712871287128713,176,202
Chile,0.8333333333333334,5,6
España,0.8240740740740741,356,432
República Serbia,0.8,20,25
Angola,0.8,4,5
Suiza,0.7941176470588235,27,34
Republic of Ireland,0.75,6,8
Ecuador,0.6666666666666666,4,6
Gambia,0.42857142857142855,3,7
Irlanda del Norte,0.42857142857142855,3,7
Malí,0.42857142857142855,3,7
Albania,0.4,4,10
Túnez,0.3333333333333333,1,3
Eslovaquia,0.3333333333333333,2,6
Australia,0.25,1,4
Venezuela,0.2,1,5
