nationality,total_goals,player_count
España,318,427
Alemania,264,219
Inglaterra,222,231
Francia,166,118
Italia,159,198
Brasil,125,67
Argentina,99,61
Holanda,78,62
Portugal,62,41
Croacia,53,27
Dinamarca,45,39
Noruega,44,22
Bélgica,37,40
Turquía,32,17
Colombia,30,15
Suecia,28,29
Polonia,27,18
Austria,26,32
USA,26,26
Uruguay,25,23
Kosovo,25,9
Nigeria,24,25
Suiza,24,33
Marruecos,24,29
Senegal,23,22
Camerún,23,12
Ghana,23,17
Escocia,21,21
Ucrania,20,9
Japón,19,22
Bosnia y Herzegovina,17,6
Canadá,16,5
Gales,16,13
República Serbia,16,25
Argelia,15,9
Grecia,15,11
República Checa,12,9
Guinea-Bisáu,12,5
Costa de Marfil,10,12
,9,8
Burkina Faso,9,4
Islandia,8,5
Montenegro,8,4
Eslovenia,7,7
Hungría,7,7
Georgia,7,4
Corea del Sur,7,4
Republic of Ireland,6,8
México,6,4
Congo (Brazzaville),5,6
Egipto,5,3
Chile,5,8
Paraguay,5,5
Benín,4,1
Luxemburgo,4,1
Surinam,4,2
Angola,4,5
Irlanda del Norte,3,6
Zambia,3,2
Albania,3,9
Gambia,3,7
Israel,3,3
Indonesia,3,2
Ecuador,3,6
Sudáfrica,3,1
Guinea,3,2
Siria,2,1
Guinea Ecuatorial,2,2
Malí,2,7
Nueva Zelanda,2,2
Eslovaquia,2,6
Armenia,1,1
Australia,1,4
Túnez,1,3
Haití,1,1
Venezuela,1,6
Honduras,1,1
